	.id	set1	set2	intersect	len_set1	len_set2	background	FET.p.val	rank	TF	prev_rank
15	Enrichr	TCGA-04-1331-01	DEPDC1B	6	300	299	20000	0.29314854815246005	16	DEPDC1B	0.005084745762711864
16	ARCHS4	TCGA-04-1331-01	CAMTA1_ARCHS4_PEARSON	6	300	300	20000	0.2957430980494382	17	CAMTA1	0.005208333333333333
17	Enrichr	TCGA-04-1331-01	ZIK1	6	300	299	20000	0.29314854815246005	18	ZIK1	0.005932203389830509
18	GTEx	TCGA-04-1331-01	ZNF451_GTEX_PEARSON	6	300	300	20000	0.2957430980494382	19	ZNF451	0.006060606060606061
19	ARCHS4	TCGA-04-1331-01	DUX4L1_ARCHS4_PEARSON	6	300	300	20000	0.2957430980494382	20	DUX4L1	0.006510416666666667
20	ReMap	TCGA-04-1331-01	DUX4	17	300	1446	20000	0.8810007132172843	21	DUX4	0.006779661016949152
21	Enrichr	TCGA-04-1331-01	PMS1	6	300	299	20000	0.29314854815246005	22	PMS1	0.006779661016949152
22	ChEA	TCGA-04-1331-01	RUNX1_26923725_CHIPSEQ_MACROPHAGESS_MOUSE	1	300	52	20000	0.5447554630473921	23	RUNX1	0.007159904534606206
23	GTEx	TCGA-04-1331-01	FEZF1_GTEX_PEARSON	6	300	300	20000	0.2957430980494382	24	FEZF1	0.007272727272727273
24	Enrichr	TCGA-04-1331-01	MYBL2	6	300	299	20000	0.29314854815246005	25	MYBL2	0.007627118644067797
25	ARCHS4	TCGA-04-1331-01	FOXG1_ARCHS4_PEARSON	6	300	300	20000	0.2957430980494382	26	FOXG1	0.0078125
26	Enrichr	TCGA-04-1331-01	DEPDC1	6	300	299	20000	0.29314854815246005	27	DEPDC1	0.00847457627118644
27	GTEx	TCGA-04-1331-01	ALX3_GTEX_PEARSON	6	300	300	20000	0.2957430980494382	28	ALX3	0.008484848484848486
28	ARCHS4	TCGA-04-1331-01	FOXH1_ARCHS4_PEARSON	6	300	300	20000	0.2957430980494382	29	FOXH1	0.009114583333333334
29	Enrichr	TCGA-04-1331-01	E2F2	6	300	299	20000	0.29314854815246005	30	E2F2	0.009322033898305085
30	ChEA	TCGA-04-1331-01	GLI1_17442700_CHIPCHIP_MESCS_MOUSE	1	300	54	20000	0.5583457741172863	31	GLI1	0.00954653937947494
31	GTEx	TCGA-04-1331-01	ZNF709_GTEX_PEARSON	6	300	300	20000	0.2957430980494382	32	ZNF709	0.009696969696969697
32	Enrichr	TCGA-04-1331-01	E2F8	6	300	299	20000	0.29314854815246005	33	E2F8	0.010169491525423728
33	ReMap	TCGA-04-1331-01	HES1	8	300	788	20000	0.9085076430043337	34	HES1	0.010169491525423728
34	ARCHS4	TCGA-04-1331-01	NPAS3_ARCHS4_PEARSON	6	300	300	20000	0.2957430980494382	35	NPAS3	0.010416666666666666
35	GTEx	TCGA-04-1331-01	PHF1_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	36	PHF1	0.01090909090909091
36	Enrichr	TCGA-04-1331-01	ZNF367	6	300	299	20000	0.29314854815246005	37	ZNF367	0.011016949152542373
37	ARCHS4	TCGA-04-1331-01	ZNF112_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	38	ZNF112	0.01171875
38	Enrichr	TCGA-04-1331-01	E2F7	5	300	299	20000	0.46642050682267966	39	E2F7	0.011864406779661017
39	ChEA	TCGA-04-1331-01	ESR1_20079471_CHIPCHIP_T47D_HUMAN	3	300	195	20000	0.5624356075833846	40	ESR1	0.011933174224343675
40	GTEx	TCGA-04-1331-01	DMBX1_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	41	DMBX1	0.012121212121212121
41	Enrichr	TCGA-04-1331-01	MYBL1	5	300	299	20000	0.46642050682267966	42	MYBL1	0.012711864406779662
42	ARCHS4	TCGA-04-1331-01	ZSCAN20_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	43	ZSCAN20	0.013020833333333334
43	GTEx	TCGA-04-1331-01	NPAS4_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	44	NPAS4	0.013333333333333334
44	Enrichr	TCGA-04-1331-01	CASP8AP2	5	300	299	20000	0.46642050682267966	45	CASP8AP2	0.013559322033898305
45	ReMap	TCGA-04-1331-01	ELF5	7	300	707	20000	0.9093087700571411	46	ELF5	0.013559322033898305
46	ChEA	TCGA-04-1331-01	PCGF2_27294783_CHIPSEQ_NPCS_MOUSE	5	300	380	20000	0.6770707045265206	47	PCGF2	0.014319809069212411
47	ARCHS4	TCGA-04-1331-01	FOXD4L6_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	48	FOXD4L6	0.014322916666666666
48	Enrichr	TCGA-04-1331-01	ZNF273	5	300	299	20000	0.46642050682267966	49	ZNF273	0.01440677966101695
49	GTEx	TCGA-04-1331-01	CSRNP2_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	50	CSRNP2	0.014545454545454545
50	Enrichr	TCGA-04-1331-01	CBX2	5	300	299	20000	0.46642050682267966	51	CBX2	0.015254237288135594
51	ARCHS4	TCGA-04-1331-01	NFIB_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	52	NFIB	0.015625
52	GTEx	TCGA-04-1331-01	ZSCAN18_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	53	ZSCAN18	0.01575757575757576
53	Enrichr	TCGA-04-1331-01	RHOXF1	5	300	299	20000	0.46642050682267966	54	RHOXF1	0.016101694915254237
54	ChEA	TCGA-04-1331-01	GATA2_26923725_CHIPSEQ_HEMANGIOBLAST_MOUSE	1	300	75	20000	0.678783870484249	55	GATA2	0.016706443914081145
55	ARCHS4	TCGA-04-1331-01	ZFHX2_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	56	ZFHX2	0.016927083333333332
56	ReMap	TCGA-04-1331-01	EHF	2	300	267	20000	0.911888253877383	57	EHF	0.01694915254237288
57	Enrichr	TCGA-04-1331-01	ZNF483	5	300	299	20000	0.46642050682267966	58	ZNF483	0.01694915254237288
58	GTEx	TCGA-04-1331-01	ZBTB8B_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	59	ZBTB8B	0.01696969696969697
59	Enrichr	TCGA-04-1331-01	ZNF280B	5	300	299	20000	0.46642050682267966	60	ZNF280B	0.017796610169491526
60	GTEx	TCGA-04-1331-01	CXXC4_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	61	CXXC4	0.01818181818181818
61	ARCHS4	TCGA-04-1331-01	ZNF711_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	62	ZNF711	0.018229166666666668
62	Enrichr	TCGA-04-1331-01	EZH2	5	300	299	20000	0.46642050682267966	63	EZH2	0.01864406779661017
63	ChEA	TCGA-04-1331-01	IRF1_19129219_CHIPCHIP_H3396_HUMAN	2	300	169	20000	0.7234394767388239	64	IRF1	0.01909307875894988
64	GTEx	TCGA-04-1331-01	CSRNP3_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	65	CSRNP3	0.019393939393939394
65	Enrichr	TCGA-04-1331-01	DEPDC4	5	300	299	20000	0.46642050682267966	66	DEPDC4	0.019491525423728815
66	ARCHS4	TCGA-04-1331-01	MYT1L_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	67	MYT1L	0.01953125
67	Enrichr	TCGA-04-1331-01	TIGD3	5	300	299	20000	0.46642050682267966	68	TIGD3	0.020338983050847456
68	GTEx	TCGA-04-1331-01	ZNF525_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	69	ZNF525	0.020606060606060607
69	ARCHS4	TCGA-04-1331-01	ZNF385D_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	70	ZNF385D	0.020833333333333332
70	Enrichr	TCGA-04-1331-01	ZNF107	5	300	299	20000	0.46642050682267966	71	ZNF107	0.0211864406779661
71	GTEx	TCGA-04-1331-01	PEG3_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	72	PEG3	0.02181818181818182
72	Enrichr	TCGA-04-1331-01	ZNF214	5	300	299	20000	0.46642050682267966	73	ZNF214	0.022033898305084745
73	ARCHS4	TCGA-04-1331-01	ZFP28_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	74	ZFP28	0.022135416666666668
74	Enrichr	TCGA-04-1331-01	ZNF684	5	300	299	20000	0.46642050682267966	75	ZNF684	0.02288135593220339
75	GTEx	TCGA-04-1331-01	ZNF667_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	76	ZNF667	0.02303030303030303
76	ARCHS4	TCGA-04-1331-01	ZFP62_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	77	ZFP62	0.0234375
77	ReMap	TCGA-04-1331-01	ZZZ3	3	300	432	20000	0.9589377900035047	78	ZZZ3	0.023728813559322035
78	Enrichr	TCGA-04-1331-01	ZNF695	4	300	299	20000	0.6589603390447953	79	ZNF695	0.023728813559322035
79	GTEx	TCGA-04-1331-01	ZSCAN1_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	80	ZSCAN1	0.024242424242424242
80	Enrichr	TCGA-04-1331-01	ZNF670	4	300	299	20000	0.6589603390447953	81	ZNF670	0.02457627118644068
81	Enrichr	TCGA-04-1331-01	ZNF280C	4	300	299	20000	0.6589603390447953	82	ZNF280C	0.025423728813559324
82	GTEx	TCGA-04-1331-01	SOX3_GTEX_PEARSON	5	300	300	20000	0.4693133442381662	83	SOX3	0.025454545454545455
83	ARCHS4	TCGA-04-1331-01	ZNF248_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	84	ZNF248	0.026041666666666668
84	ChEA	TCGA-04-1331-01	VDR_20736230_CHIPSEQ_LYMPHOBLASTOID_HUMAN	5	300	443	20000	0.7973165257277098	85	VDR	0.026252983293556086
85	Enrichr	TCGA-04-1331-01	ZNF676	4	300	299	20000	0.6589603390447953	86	ZNF676	0.026271186440677965
86	GTEx	TCGA-04-1331-01	ZBTB20_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	87	ZBTB20	0.02666666666666667
87	ReMap	TCGA-04-1331-01	BACH2	14	300	1452	20000	0.9744795040549478	88	BACH2	0.02711864406779661
88	Enrichr	TCGA-04-1331-01	IKZF2	4	300	299	20000	0.6589603390447953	89	IKZF2	0.02711864406779661
89	ARCHS4	TCGA-04-1331-01	ZMAT4_ARCHS4_PEARSON	5	300	300	20000	0.4693133442381662	90	ZMAT4	0.02734375
90	GTEx	TCGA-04-1331-01	FAM200B_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	91	FAM200B	0.027878787878787878
91	Enrichr	TCGA-04-1331-01	ZNF782	4	300	299	20000	0.6589603390447953	92	ZNF782	0.027966101694915254
92	ChEA	TCGA-04-1331-01	CEBPB_26923725_CHIPSEQ_HEMANGIOBLAST_MOUSE	6	300	529	20000	0.8084873794161422	93	CEBPB	0.028639618138424822
93	Enrichr	TCGA-04-1331-01	ZNF85	4	300	299	20000	0.6589603390447953	94	ZNF85	0.0288135593220339
94	GTEx	TCGA-04-1331-01	HES6_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	95	HES6	0.02909090909090909
95	Enrichr	TCGA-04-1331-01	DMC1	4	300	299	20000	0.6589603390447953	96	DMC1	0.029661016949152543
96	ARCHS4	TCGA-04-1331-01	HSF5_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	97	HSF5	0.029947916666666668
97	GTEx	TCGA-04-1331-01	CUX2_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	98	CUX2	0.030303030303030304
98	ReMap	TCGA-04-1331-01	HMBOX1	13	300	1448	20000	0.9860954086519311	99	HMBOX1	0.030508474576271188
99	Enrichr	TCGA-04-1331-01	PROX2	4	300	299	20000	0.6589603390447953	100	PROX2	0.030508474576271188
100	ChEA	TCGA-04-1331-01	ERG_21242973_CHIPCHIP_JURKAT_HUMAN	3	300	307	20000	0.8420931538443003	101	ERG	0.031026252983293555
101	ARCHS4	TCGA-04-1331-01	VSX2_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	102	VSX2	0.03125
102	Enrichr	TCGA-04-1331-01	ZNF90	4	300	299	20000	0.6589603390447953	103	ZNF90	0.03135593220338983
103	GTEx	TCGA-04-1331-01	ZNF628_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	104	ZNF628	0.03151515151515152
104	Enrichr	TCGA-04-1331-01	ZNF556	4	300	299	20000	0.6589603390447953	105	ZNF556	0.03220338983050847
105	ARCHS4	TCGA-04-1331-01	CPXCR1_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	106	CPXCR1	0.032552083333333336
106	GTEx	TCGA-04-1331-01	TLX2_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	107	TLX2	0.03272727272727273
107	Enrichr	TCGA-04-1331-01	ZNF286A	4	300	299	20000	0.6589603390447953	108	ZNF286A	0.03305084745762712
108	ChEA	TCGA-04-1331-01	GBX2_23144817_CHIPSEQ_PC3_HUMAN	2	300	225	20000	0.8538983934467402	109	GBX2	0.03341288782816229
109	ARCHS4	TCGA-04-1331-01	TBX22_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	110	TBX22	0.033854166666666664
110	Enrichr	TCGA-04-1331-01	ZNF530	4	300	299	20000	0.6589603390447953	111	ZNF530	0.03389830508474576
111	ReMap	TCGA-04-1331-01	NME2	13	300	1454	20000	0.9867452539402966	112	NME2	0.03389830508474576
112	GTEx	TCGA-04-1331-01	LIN28A_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	113	LIN28A	0.03393939393939394
113	Enrichr	TCGA-04-1331-01	TERF1	4	300	299	20000	0.6589603390447953	114	TERF1	0.03474576271186441
114	ARCHS4	TCGA-04-1331-01	ZFP69_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	115	ZFP69	0.03515625
115	Enrichr	TCGA-04-1331-01	TOE1	4	300	299	20000	0.6589603390447953	116	TOE1	0.03559322033898305
116	GTEx	TCGA-04-1331-01	ZNF563_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	117	ZNF563	0.03636363636363636
117	Enrichr	TCGA-04-1331-01	HIST1H1A	4	300	299	20000	0.6589603390447953	118	HIST1H1A	0.036440677966101696
118	ARCHS4	TCGA-04-1331-01	TFCP2_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	119	TFCP2	0.036458333333333336
119	Enrichr	TCGA-04-1331-01	HIST1H1B	4	300	299	20000	0.6589603390447953	120	HIST1H1B	0.03728813559322034
120	ReMap	TCGA-04-1331-01	PDX1	13	300	1454	20000	0.9867452539402966	121	PDX1	0.03728813559322034
121	Enrichr	TCGA-04-1331-01	ZNF546	4	300	299	20000	0.6589603390447953	122	ZNF546	0.038135593220338986
122	ChEA	TCGA-04-1331-01	NFE2_27457419_CHIPSEQ_LIVER_MOUSE	9	300	808	20000	0.8599220494959756	123	NFE2	0.03818615751789976
123	GTEx	TCGA-04-1331-01	ATMIN_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	124	ATMIN	0.03878787878787879
124	Enrichr	TCGA-04-1331-01	ZNF738	4	300	299	20000	0.6589603390447953	125	ZNF738	0.03898305084745763
125	ARCHS4	TCGA-04-1331-01	BCL11A_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	126	BCL11A	0.0390625
126	Enrichr	TCGA-04-1331-01	ZNF93	4	300	299	20000	0.6589603390447953	127	ZNF93	0.03983050847457627
127	GTEx	TCGA-04-1331-01	CPEB1_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	128	CPEB1	0.04
128	ARCHS4	TCGA-04-1331-01	ZNF541_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	129	ZNF541	0.040364583333333336
129	ChEA	TCGA-04-1331-01	FLI1_27457419_CHIPSEQ_LIVER_MOUSE	3	300	321	20000	0.862988357767298	130	FLI1	0.0405727923627685
130	Enrichr	TCGA-04-1331-01	WDHD1	4	300	299	20000	0.6589603390447953	131	WDHD1	0.04067796610169491
131	ReMap	TCGA-04-1331-01	FOSL1	13	300	1454	20000	0.9867452539402966	132	FOSL1	0.04067796610169491
132	GTEx	TCGA-04-1331-01	ETV2_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	133	ETV2	0.041212121212121214
133	Enrichr	TCGA-04-1331-01	TFDP2	4	300	299	20000	0.6589603390447953	134	TFDP2	0.04152542372881356
134	ARCHS4	TCGA-04-1331-01	IKZF4_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	135	IKZF4	0.041666666666666664
135	Enrichr	TCGA-04-1331-01	THAP9	4	300	299	20000	0.6589603390447953	136	THAP9	0.0423728813559322
136	GTEx	TCGA-04-1331-01	INSM1_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	137	INSM1	0.04242424242424243
137	Enrichr	TCGA-04-1331-01	ZNF714	4	300	299	20000	0.6589603390447953	138	ZNF714	0.043220338983050846
138	GTEx	TCGA-04-1331-01	DLX4_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	139	DLX4	0.04363636363636364
139	Enrichr	TCGA-04-1331-01	SLC4A10	4	300	299	20000	0.6589603390447953	140	SLC4A10	0.04406779661016949
140	ReMap	TCGA-04-1331-01	HOXB13	13	300	1454	20000	0.9867452539402966	141	HOXB13	0.04406779661016949
141	ARCHS4	TCGA-04-1331-01	SHOX2_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	142	SHOX2	0.044270833333333336
142	GTEx	TCGA-04-1331-01	FOXI1_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	143	FOXI1	0.044848484848484846
143	Enrichr	TCGA-04-1331-01	DACH2	4	300	299	20000	0.6589603390447953	144	DACH2	0.044915254237288135
144	ChEA	TCGA-04-1331-01	CEBPD_23245923_CHIPSEQ_MEFS_MOUSE	4	300	450	20000	0.9084475513968377	145	CEBPD	0.045346062052505964
145	ARCHS4	TCGA-04-1331-01	NFIA_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	146	NFIA	0.045572916666666664
146	Enrichr	TCGA-04-1331-01	ZNF280D	4	300	299	20000	0.6589603390447953	147	ZNF280D	0.04576271186440678
147	Enrichr	TCGA-04-1331-01	NUPL2	4	300	299	20000	0.6589603390447953	148	NUPL2	0.046610169491525424
148	ARCHS4	TCGA-04-1331-01	PURG_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	149	PURG	0.046875
149	GTEx	TCGA-04-1331-01	KLF17_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	150	KLF17	0.04727272727272727
150	ReMap	TCGA-04-1331-01	HOXB7	1	300	306	20000	0.9905399130724992	151	HOXB7	0.04745762711864407
151	ChEA	TCGA-04-1331-01	AR_21572438_CHIPSEQ_LNCAP_HUMAN	1	300	168	20000	0.921905281131144	152	AR	0.0477326968973747
152	ARCHS4	TCGA-04-1331-01	ZNF33A_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	153	ZNF33A	0.048177083333333336
153	Enrichr	TCGA-04-1331-01	ZNF519	4	300	299	20000	0.6589603390447953	154	ZNF519	0.048305084745762714
154	GTEx	TCGA-04-1331-01	CREM_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	155	CREM	0.048484848484848485
155	Enrichr	TCGA-04-1331-01	ZNF141	4	300	299	20000	0.6589603390447953	156	ZNF141	0.04915254237288136
156	ARCHS4	TCGA-04-1331-01	ZNF84_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	157	ZNF84	0.049479166666666664
157	GTEx	TCGA-04-1331-01	ASCL4_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	158	ASCL4	0.0496969696969697
158	Enrichr	TCGA-04-1331-01	ZNF121	4	300	299	20000	0.6589603390447953	159	ZNF121	0.05
159	ChEA	TCGA-04-1331-01	GATA1_26923725_CHIPSEQ_HPCS_MOUSE	1	300	175	20000	0.9298098752688642	160	GATA1	0.050119331742243436
160	ARCHS4	TCGA-04-1331-01	SETBP1_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	161	SETBP1	0.05078125
161	Enrichr	TCGA-04-1331-01	KNTC1	4	300	299	20000	0.6589603390447953	162	KNTC1	0.05084745762711865
162	ReMap	TCGA-04-1331-01	NCOA3	12	300	1454	20000	0.9935433943435873	163	NCOA3	0.05084745762711865
163	GTEx	TCGA-04-1331-01	ZNF433_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	164	ZNF433	0.05090909090909091
164	Enrichr	TCGA-04-1331-01	ZNF619	3	300	299	20000	0.8289592217558602	165	ZNF619	0.051694915254237285
165	GTEx	TCGA-04-1331-01	DNMT1_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	166	DNMT1	0.052121212121212124
166	ChEA	TCGA-04-1331-01	PPARD_23176727_CHIPSEQ_KERATINOCYTES_MOUSE	1	300	175	20000	0.9298098752688642	167	PPARD	0.05250596658711217
167	Enrichr	TCGA-04-1331-01	ZNF157	3	300	299	20000	0.8289592217558602	168	ZNF157	0.05254237288135593
168	GTEx	TCGA-04-1331-01	SOX5_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	169	SOX5	0.05333333333333334
169	ARCHS4	TCGA-04-1331-01	FAM170A_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	170	FAM170A	0.053385416666666664
170	Enrichr	TCGA-04-1331-01	ZNF618	3	300	299	20000	0.8289592217558602	171	ZNF618	0.05423728813559322
171	ReMap	TCGA-04-1331-01	HOXA9	12	300	1454	20000	0.9935433943435873	172	HOXA9	0.05423728813559322
172	GTEx	TCGA-04-1331-01	MTF2_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	173	MTF2	0.05454545454545454
173	ARCHS4	TCGA-04-1331-01	LHX8_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	174	LHX8	0.0546875
174	ChEA	TCGA-04-1331-01	IRF4_20064451_CHIPSEQ_CD4T_MOUSE	9	300	911	20000	0.9329802344583874	175	IRF4	0.05489260143198091
175	Enrichr	TCGA-04-1331-01	ZNF594	3	300	299	20000	0.8289592217558602	176	ZNF594	0.05508474576271186
176	GTEx	TCGA-04-1331-01	ZNF217_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	177	ZNF217	0.055757575757575756
177	Enrichr	TCGA-04-1331-01	PBX1	3	300	299	20000	0.8289592217558602	178	PBX1	0.05593220338983051
178	ARCHS4	TCGA-04-1331-01	DMRT3_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	179	DMRT3	0.055989583333333336
179	Enrichr	TCGA-04-1331-01	RGS9	3	300	299	20000	0.8289592217558602	180	RGS9	0.05677966101694915
180	GTEx	TCGA-04-1331-01	SNAPC4_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	181	SNAPC4	0.05696969696969697
181	ChEA	TCGA-04-1331-01	ESR2_21235772_CHIPSEQ_MCF7_HUMAN	3	300	396	20000	0.9384645891067159	182	ESR2	0.057279236276849645
182	Enrichr	TCGA-04-1331-01	RAPGEF5	3	300	299	20000	0.8289592217558602	183	RAPGEF5	0.0576271186440678
183	ReMap	TCGA-04-1331-01	SOX11	12	300	1454	20000	0.9935433943435873	184	SOX11	0.0576271186440678
184	GTEx	TCGA-04-1331-01	SETDB2_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	185	SETDB2	0.05818181818181818
185	Enrichr	TCGA-04-1331-01	ZNF605	3	300	299	20000	0.8289592217558602	186	ZNF605	0.05847457627118644
186	Enrichr	TCGA-04-1331-01	ZNF652	3	300	299	20000	0.8289592217558602	187	ZNF652	0.059322033898305086
187	GTEx	TCGA-04-1331-01	ZNF609_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	188	ZNF609	0.059393939393939395
188	ChEA	TCGA-04-1331-01	FOXO1_23066095_CHIPSEQ_LIVER_MOUSE	2	300	300	20000	0.9415096282750066	189	FOXO1	0.059665871121718374
189	ARCHS4	TCGA-04-1331-01	ZNF781_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	190	ZNF781	0.059895833333333336
190	Enrichr	TCGA-04-1331-01	MLXIPL	3	300	299	20000	0.8289592217558602	191	MLXIPL	0.06016949152542373
191	GTEx	TCGA-04-1331-01	SP9_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	192	SP9	0.06060606060606061
192	Enrichr	TCGA-04-1331-01	ZNF788	3	300	299	20000	0.8289592217558602	193	ZNF788	0.061016949152542375
193	ReMap	TCGA-04-1331-01	ZNF592	3	300	605	20000	0.9948581889047193	194	ZNF592	0.061016949152542375
194	GTEx	TCGA-04-1331-01	THYN1_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	195	THYN1	0.06181818181818182
195	Enrichr	TCGA-04-1331-01	ZXDA	3	300	299	20000	0.8289592217558602	196	ZXDA	0.06186440677966102
196	ARCHS4	TCGA-04-1331-01	POU4F3_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	197	POU4F3	0.0625
197	Enrichr	TCGA-04-1331-01	ZFP14	3	300	299	20000	0.8289592217558602	198	ZFP14	0.06271186440677966
198	GTEx	TCGA-04-1331-01	AIRE_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	199	AIRE	0.06303030303030303
199	Enrichr	TCGA-04-1331-01	FOXP2	3	300	299	20000	0.8289592217558602	200	FOXP2	0.0635593220338983
200	ARCHS4	TCGA-04-1331-01	OVOL3_ARCHS4_PEARSON	4	300	300	20000	0.6615231362372122	201	OVOL3	0.06380208333333333
201	GTEx	TCGA-04-1331-01	POU3F4_GTEX_PEARSON	4	300	300	20000	0.6615231362372122	202	POU3F4	0.06424242424242424
202	Enrichr	TCGA-04-1331-01	HOXA13	3	300	299	20000	0.8289592217558602	203	HOXA13	0.06440677966101695
203	ReMap	TCGA-04-1331-01	ZNF584	11	300	1446	20000	0.9968920163210148	204	ZNF584	0.06440677966101695
